,IDs,Canonical_Smiles,component1,component2,SMILES,QED,Synth,Fsp3,mpIC50_value,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB,size_point_HBA,size_point_LogP,size_point_TPSA,size_point_MW,size_point_HBD,size_point_RB,mpIC50,PC1 contribution,PC2 contribution
406,ID407,COc1cc(CCC(=O)O)ccc1OCC1CN(c2ccccc2)CCS1,0.18976792693138123,-0.11380668729543686,COc1cc(CCC(=O)O)ccc1OCC1CN(c2ccccc2)CCS1,0.745,2.787,0.381,0.12784372725170717,,,10.0,5,3.713200000000003,59.00000000000001,387.50100000000015,1,8,11.037666839454555,13.427058522653825,7.52913729061083,12.76050465837965,11.865581297297972,11.865581297297972,0.12784372725170717,0.0003389251,0.00018829523
407,ID408,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)OCS1,-0.04618600383400917,0.28395283222198486,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)OCS1,0.727,3.333,0.381,0.13846558914096216,,,10.0,5,4.312100000000004,64.99000000000001,388.4850000000001,1,8,11.037666839454555,14.158605880111871,8.449888355692192,12.83394640122772,11.865581297297972,11.865581297297972,0.13846558914096216,2.0076079e-05,0.0011721852
408,ID409,COc1cc(CCC(=O)O)ccc1OCC1CCC(c2ccccc2)OCS1,0.18070802092552185,0.13494344055652618,COc1cc(CCC(=O)O)ccc1OCC1CCC(c2ccccc2)OCS1,0.69,3.311,0.409,0.16115090926274472,,,10.0,5,4.702200000000004,64.99000000000001,402.5120000000001,1,8,11.037666839454555,14.612192016353742,8.449888355692192,13.834748930394406,11.865581297297972,11.865581297297972,0.16115090926274472,0.00030733566,0.00026473255
409,ID410,COc1cc(CCC(=O)[O-])ccc1OCC1CC(c2ccccc2)[N+]CS1,0.2478402853012085,0.05918879061937332,COc1cc(CCC(=O)[O-])ccc1OCC1CC(c2ccccc2)[N+]CS1,0.698,4.121,0.381,0.15614457737683893,,,10.0,5,2.565200000000001,72.69,385.48500000000007,0,8,11.037666839454555,11.88636374968538,9.538332622213275,12.60862010865954,7.0,11.865581297297972,0.15614457737683893,0.0005780986,5.093106e-05
410,ID411,COc1cc(CCC(=O)[O-])ccc1OCC1CCC(c2ccccc2)[N+]CS1,0.04588211700320244,-0.20717711746692657,COc1cc(CCC(=O)[O-])ccc1OCC1CCC(c2ccccc2)[N+]CS1,0.682,4.122,0.409,0.16621562534352105,,,10.0,5,2.955300000000001,72.69,399.51200000000006,0,8,11.037666839454555,12.432386391002769,9.538332622213275,13.627609149674743,7.0,11.865581297297972,0.16621562534352105,1.9812762e-05,0.000624004
411,ID412,COc1cc(CCC(=O)[O-])ccc1OCC1CC(C)CC(c2ccccc2)[N+]1,0.18774163722991943,-0.3667279779911041,COc1cc(CCC(=O)[O-])ccc1OCC1CC(C)CC(c2ccccc2)[N+]1,0.705,4.188,0.435,0.1518108830086013,,,10.0,4,2.9007000000000014,72.69,381.4720000000001,0,8,9.187858681527455,12.35744190948665,9.538332622213275,12.300437313338378,7.0,11.865581297297972,0.1518108830086013,0.00033172587,0.0019552032
412,ID413,COc1cc(CCC(=O)[O-])ccc1OCC1CCCC(c2ccccc2)[N+]1,0.27704930305480957,0.023437993600964546,COc1cc(CCC(=O)[O-])ccc1OCC1CCCC(c2ccccc2)[N+]1,0.719,3.958,0.409,0.14327110961711742,,,10.0,4,2.654700000000001,72.69,367.44500000000005,0,8,9.187858681527455,12.013851016115105,9.538332622213275,11.156427326485865,7.0,11.865581297297972,0.14327110961711742,0.00072239083,7.986282e-06
413,ID414,COc1cc(CCC(=O)[O-])ccc1OCC1CSC(c2ccccc2)[N+]1,0.4418303966522217,0.4800378680229187,COc1cc(CCC(=O)[O-])ccc1OCC1CSC(c2ccccc2)[N+]1,0.711,4.05,0.35,0.1481303992702337,,,10.0,5,2.1750999999999996,72.69,371.458,0,8,11.037666839454555,11.314306729080826,9.538332622213275,11.495005531680379,7.0,11.865581297297972,0.1481303992702337,0.0018372544,0.003350077
414,ID415,COc1cc(CCC(=O)[O-])ccc1OCC1CCSC(c2ccccc2)[N+]1,0.32996711134910583,0.26578783988952637,COc1cc(CCC(=O)[O-])ccc1OCC1CCSC(c2ccccc2)[N+]1,0.698,4.069,0.381,0.15614457737683893,,,10.0,5,2.5652,72.69,385.485,0,8,11.037666839454555,11.886363749685376,9.538332622213275,12.608620108659537,7.0,11.865581297297972,0.15614457737683893,0.0010247063,0.0010270084
415,ID416,COc1cc(CCC(=O)[O-])ccc1OCC1CCCSC(c2ccccc2)[N+]1,0.1701432168483734,-0.11531124264001846,COc1cc(CCC(=O)[O-])ccc1OCC1CCCSC(c2ccccc2)[N+]1,0.682,4.071,0.409,0.16621562534352105,,,10.0,5,2.955300000000001,72.69,399.51200000000006,0,8,11.037666839454555,12.432386391002769,9.538332622213275,13.627609149674743,7.0,11.865581297297972,0.16621562534352105,0.0002724504,0.00019330677
416,ID417,COc1cc(CCC(=O)[O-])ccc1OCC1[N+]C2(c3ccccc3)CC1C2,0.07103250175714493,-0.03948824852705002,COc1cc(CCC(=O)[O-])ccc1OCC1[N+]C2(c3ccccc3)CC1C2,0.718,4.469,0.409,0.14387555575769967,,,10.0,4,2.0485999999999986,72.69,365.42900000000014,0,8,9.187858681527455,11.122789546367768,9.538332622213275,10.982662394052424,7.0,11.865581297297972,0.14387555575769967,4.748674e-05,2.2669374e-05
417,ID418,COc1cc(CCC(=O)[O-])ccc1OCC1C=C(c2ccccc2)CC[N+]1,0.09968341141939163,-0.27447375655174255,COc1cc(CCC(=O)[O-])ccc1OCC1C=C(c2ccccc2)CC[N+]1,0.719,3.73,0.318,0.14327110961711742,,,10.0,4,2.2168,72.69,365.42900000000014,0,8,9.187858681527455,11.376775270803943,9.538332622213275,10.982662394052424,7.0,11.865581297297972,0.14327110961711742,9.351987e-05,0.0010952303
418,ID419,COc1cc(CCC(=O)[O-])ccc1OCC1CCC(c2ccccc2)SC[N+]1,-0.08517654985189438,-0.4394361674785614,COc1cc(CCC(=O)[O-])ccc1OCC1CCC(c2ccccc2)SC[N+]1,0.682,4.135,0.409,0.16621562534352105,,,10.0,5,2.955300000000001,72.69,399.51200000000006,0,8,11.037666839454555,12.432386391002769,9.538332622213275,13.627609149674743,7.0,11.865581297297972,0.16621562534352105,6.828074e-05,0.0028073424
419,ID420,COc1cc(CCC(=O)O)ccc1OCc1cccc(-n2ccnc2)c1,0.1839485466480255,-0.16474241018295288,COc1cc(CCC(=O)O)ccc1OCc1cccc(-n2ccnc2)c1,0.672,2.099,0.2,0.1726307269461747,,,10.0,5,3.477100000000002,73.58000000000001,352.39000000000004,1,8,11.037666839454555,13.125947572101868,9.658004183794727,9.79360411977764,11.865581297297972,11.865581297297972,0.1726307269461747,0.00031845705,0.00039456142
420,ID421,COc1cc(CCC(=O)O)ccc1OCc1cccc(-n2cncn2)c1,0.12804289162158966,0.025696182623505592,COc1cc(CCC(=O)O)ccc1OCc1cccc(-n2cncn2)c1,0.67,2.108,0.211,0.17392519729917352,,,10.0,6,2.8721000000000014,86.47000000000001,353.37800000000004,1,8,12.640043550948826,12.317997678544044,11.269408605769254,9.887945429423112,11.865581297297972,11.865581297297972,0.17392519729917352,0.00015430112,9.599332e-06
421,ID422,COc1cc(CCC(=O)O)ccc1OCc1cccc(C(=O)N2CCC2)c1,0.20359213650226593,-0.3950554430484772,COc1cc(CCC(=O)O)ccc1OCc1cccc(C(=O)N2CCC2)c1,0.774,1.89,0.333,0.11125903931710739,,,10.0,4,3.1373000000000015,76.07000000000001,369.4170000000002,1,8,9.187858681527455,12.678873930325251,9.986611069744132,11.32399956920819,11.865581297297972,11.865581297297972,0.11125903931710739,0.00039010376,0.0022689237
422,ID423,COc1cc(CCC(=O)O)ccc1OCc1cccc(C2=CCCCC2)c1,0.43584704399108887,0.44727736711502075,COc1cc(CCC(=O)O)ccc1OCc1cccc(C2=CCCCC2)c1,0.693,2.15,0.348,0.1592667653881933,,,10.0,3,5.248800000000005,55.760000000000005,366.4570000000002,1,8,7.0,15.220218266961677,7.0,11.07158308550822,11.865581297297972,11.865581297297972,0.1592667653881933,0.0017878304,0.0029084233
423,ID424,COc1cc(CCC(=O)O)ccc1OCc1cccc(C2=CCCOC2)c1,0.29716625809669495,0.18550607562065125,COc1cc(CCC(=O)O)ccc1OCc1cccc(C2=CCCOC2)c1,0.76,2.392,0.318,0.11918640771920865,,,10.0,4,4.095100000000003,64.99000000000001,368.4290000000002,1,8,9.187858681527455,13.898666188813612,8.449888355692192,11.240336000219582,11.865581297297972,11.865581297297972,0.11918640771920865,0.0008311073,0.000500288
