molecule_chembl_id,Smiles
CHEMBL1548738,COc1ccccc1NC(=O)Cn1nnc2sc3c(c2c1=O)CC(C)(C)OC3
CHEMBL255494,CO[C@H]1O[C@@H]2C=C(C)[C@H]3C[C@@H]2[C@@]13CC(=O)CC(C)C
CHEMBL1716577,COc1ccc(N(C(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)C2C=CS(=O)(=O)C2)cc1
CHEMBL219908,Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2cc[n+](C)cc2)c(=O)[nH]c1=O
CHEMBL1346366,CN(Cc1ccc(C(F)(F)F)cc1)C(=O)C1CCC(=O)N(C2CC2)C1
CHEMBL4095362,Cc1cc(=Nc2nc(C(=O)N3CCNC[C@@H]3C)nc3ccc(Cl)cc23)[nH][nH]1
CHEMBL1893746,COc1ccc(Cc2noc(CN(C)CC(O)c3ccccc3)n2)cc1OC
CHEMBL1865881,CCOC(=O)N1CCc2c(sc(NC(C)=O)c2C(N)=O)C1
CHEMBL1900817,N#Cc1ccc(C(=O)N2CCN(c3ncccn3)CC2)cc1
CHEMBL1594091,O=c1cc(-c2ccccc2)cc(-c2ccccc2)n1CCO
CHEMBL1589607,Cc1ccc2oc(=O)n(CC(=O)N3CCOCC3)c2c1
CHEMBL324044,CCN(Cc1ccc(OC)c(OC)c1)Cc1ccc(-c2cc(S(=O)(=O)CC)ccc2OC)[nH]1
CHEMBL60084,COc1ccc2[nH]c([S+]([O-])Cc3cc(N(C)C)c(Cl)cn3)nc2c1
CHEMBL1888587,O=C(NCc1cccnc1)c1cccs1
CHEMBL559017,CC1C[C@]2(C)C(=NCCCO)Nc3ccccc3[C@@H]2N(C)c2ccccc21
CHEMBL3238308,CC#C[C@H]1CN(S(=O)(=O)c2ccc(=N)[nH]c2)CCN1c1ccc([C@](C)(O)C(F)(F)F)cn1
CHEMBL1903478,C=CCn1c(SCC(=O)Nc2ccc(O)cc2)nc2sc(C)c(C)c2c1=O
CHEMBL2171254,CC(C(=O)O)c1ccc2c3cc(Cl)ccc3n(C(=O)c3cocn3)c2c1
CHEMBL3578099,CC(O)(c1cnc(-c2ccc(S(=O)(=O)c3ccc(=N)[nH]c3)s2)c(Cl)c1)C(F)(F)F
CHEMBL432193,CSCC(C(=O)O)n1c(O)c2c(c1O)[C@H]1CC[C@@H]2O1
CHEMBL1904527,CC1CC(C)CN(C(=O)CNS(=O)(=O)c2cccs2)C1
CHEMBL218073,Cc1ccccc1/C=N/c1nc(-c2ccccc2)cs1
CHEMBL375807,Cc1csc(=N/N=C/c2ccc(Cl)cc2)[nH]1
CHEMBL213852,C=C1c2c(c(O)c3ncccc3c2OC)C(=O)N1Cc1ccc(F)cc1
CHEMBL2206006,O=C1Nc2ccc(Cl)cc2/C1=C/c1ccc(OCCCc2nn[nH]n2)cc1
CHEMBL2253467,CCCCC1Oc2ccccc2N(O)C1=O
CHEMBL382427,O=C(Nc1ccc2nccnc2c1)c1ccc(Br)o1
CHEMBL4277261,N=c1cc[nH]c2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O
CHEMBL2141118,CCOC(=O)C1CCN(C(=O)c2sc3ncn(CC(=O)N4CCCCC4)c(=O)c3c2C)CC1
CHEMBL1868454,C#Cc1cccc(C(=O)N2CCCC(Nc3cccc(F)c3)C2)c1
CHEMBL1893127,COc1ccc(C(=O)NCc2nnc(SCC(=O)NCc3ccco3)o2)cc1OC
CHEMBL211496,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc[nH]2)ccc1O
CHEMBL1766380,NNC[C@H](O)c1ccccc1
CHEMBL1584900,CNS(=O)(=O)c1cc(OC)c(OC)cc1CC(=O)OC
CHEMBL176368,COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Sc1ccc([N+](=O)[O-])cc1
